traceId,time,lng,lat,sunlit,shadowPercent,bucketStart,bucketEnd,source,cloudCover,sunlightFactor,sunlitEffective,shadowPercentEffective,solarIrradianceWm2,irradianceEffective,durationSeconds,sunlightSeconds,shadowSeconds,irradianceJ
6,2021-11-19T04:30:22.000Z,114.1292576,22.2829498,0,100,2021-11-19T04:30:00.000Z,2021-11-19T04:31:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:31:22.000Z,114.1285145,22.2821368,0,100,2021-11-19T04:31:00.000Z,2021-11-19T04:32:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:32:22.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:32:00.000Z,2021-11-19T04:33:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:33:22.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:33:00.000Z,2021-11-19T04:34:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:34:22.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:34:00.000Z,2021-11-19T04:35:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
6,2021-11-19T04:35:23.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:35:00.000Z,2021-11-19T04:36:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:36:23.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:36:00.000Z,2021-11-19T04:37:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:37:23.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:37:00.000Z,2021-11-19T04:38:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:38:23.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:38:00.000Z,2021-11-19T04:39:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
7,2021-11-19T04:39:24.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:39:00.000Z,2021-11-19T04:40:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:40:24.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:40:00.000Z,2021-11-19T04:41:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:41:24.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:41:00.000Z,2021-11-19T04:42:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:42:24.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:42:00.000Z,2021-11-19T04:43:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,68.5,0,68.5,
7,2021-11-19T04:43:32.500Z,114.1292576,22.2823689,0,100,2021-11-19T04:43:00.000Z,2021-11-19T04:44:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,66.5,0,66.5,
7,2021-11-19T04:44:39.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:44:00.000Z,2021-11-19T04:45:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,58,0,58,
7,2021-11-19T04:45:37.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:45:00.000Z,2021-11-19T04:46:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
7,2021-11-19T04:46:38.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:46:00.000Z,2021-11-19T04:47:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:47:38.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:47:00.000Z,2021-11-19T04:48:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:48:38.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:48:00.000Z,2021-11-19T04:49:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
7,2021-11-19T04:49:39.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:49:00.000Z,2021-11-19T04:50:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:50:39.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:50:00.000Z,2021-11-19T04:51:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:51:39.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:51:00.000Z,2021-11-19T04:52:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:52:39.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:52:00.000Z,2021-11-19T04:53:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,50.5,0,50.5,
7,2021-11-19T04:53:29.500Z,114.1292576,22.2823689,0,100,2021-11-19T04:53:00.000Z,2021-11-19T04:54:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,50.5,0,50.5,
7,2021-11-19T04:54:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:54:00.000Z,2021-11-19T04:55:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:55:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:55:00.000Z,2021-11-19T04:56:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T04:56:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:56:00.000Z,2021-11-19T04:57:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,70.5,0,70.5,
7,2021-11-19T04:57:30.500Z,114.1292576,22.2823689,0,100,2021-11-19T04:57:00.000Z,2021-11-19T04:58:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,63.5,0,63.5,
7,2021-11-19T04:58:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:58:00.000Z,2021-11-19T04:59:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
7,2021-11-19T04:59:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T04:59:00.000Z,2021-11-19T05:00:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
7,2021-11-19T05:00:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:00:00.000Z,2021-11-19T05:01:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:01:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:01:00.000Z,2021-11-19T05:02:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:02:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:02:00.000Z,2021-11-19T05:03:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:03:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:03:00.000Z,2021-11-19T05:04:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:04:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:04:00.000Z,2021-11-19T05:05:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:05:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:05:00.000Z,2021-11-19T05:06:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:06:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:06:00.000Z,2021-11-19T05:07:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:07:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:07:00.000Z,2021-11-19T05:08:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:08:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:08:00.000Z,2021-11-19T05:09:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:09:35.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:09:00.000Z,2021-11-19T05:10:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,45.5,0,45.5,
7,2021-11-19T05:10:20.500Z,114.1292576,22.2823689,0,100,2021-11-19T05:10:00.000Z,2021-11-19T05:11:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,73.5,0,73.5,
7,2021-11-19T05:11:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:11:00.000Z,2021-11-19T05:12:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,46,0,46,
7,2021-11-19T05:12:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:12:00.000Z,2021-11-19T05:13:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:13:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:13:00.000Z,2021-11-19T05:14:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,60,0,60,
7,2021-11-19T05:14:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:14:00.000Z,2021-11-19T05:15:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,63,0,63,
7,2021-11-19T05:15:23.000Z,114.1292576,22.2823689,0,100,2021-11-19T05:15:00.000Z,2021-11-19T05:16:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,69,0,69,
8,2021-11-19T05:16:32.000Z,114.1292576,22.28202,0,100,2021-11-19T05:16:00.000Z,2021-11-19T05:17:00.000Z,engine,0.9482421875,0.19399414062499998,0,100,,,50,0,50,
8,2021-11-19T05:17:22.000Z,114.1294434,22.28219445,1,0,2021-11-19T05:17:00.000Z,2021-11-19T05:18:00.000Z,fallback_no_buildings,0.9482421875,0.19399414062499998,0.19399414062499998,80.6005859375,,,60,11.639648437499998,48.3603515625,
8,2021-11-19T05:18:22.000Z,114.1292576,22.2820492,1,0,2021-11-19T05:18:00.000Z,2021-11-19T05:19:00.000Z,fallback_no_buildings,0.9482421875,0.19399414062499998,0.19399414062499998,80.6005859375,,,61,11.833642578124998,49.166357421875,
8,2021-11-19T05:19:23.000Z,114.1288861,22.2820784,1,0,2021-11-19T05:19:00.000Z,2021-11-19T05:20:00.000Z,fallback_no_buildings,0.9482421875,0.19399414062499998,0.19399414062499998,80.6005859375,,,60,11.639648437499998,48.3603515625,
